Report Date/Time: 01/21/2011 05:26 PM,,,,,STATE OF ARIZONA REGISTRATION REPORT,,,,,Page Number 1
,,,,,"2011 January Voter Registration - January 1, 2011",,,,,
,,,,,Compiled and Issued by the Arizona Secretary of State,,,,,
,,,,,ACTIVE,,,,,
,county,Precincts,Date/Period,Democratic,,Libertarian,Republican,Green,Other,TOTAL
,Apache,45,P.E. 2010,25982,,159,6778,29,10172,43120
,Apache,45,G.E. 2010,26458,,157,6949,30,10457,44051
,Apache,45,11-Jan,26776,,156,7063,36,10687,44718
,Cochise,64,P.E. 2010,23536,,323,28776,144,23795,76574
,Cochise,64,G.E. 2010,23438,,334,29097,137,24471,77477
,Cochise,64,11-Jan,23372,,351,29164,138,24962,77987
,Coconino,85,P.E. 2010,27235,,825,18059,260,20838,67217
,Coconino,85,G.E. 2010,27645,,817,18433,259,21651,68805
,Coconino,85,11-Jan,27854,,830,18651,268,22195,69798
,Gila,39,P.E. 2010,11847,,147,10876,24,6716,29610
,Gila,39,G.E. 2010,11800,,152,11143,23,7041,30159
,Gila,39,11-Jan,11761,,163,11181,24,7224,30353
,Graham,18,P.E. 2010,6860,,48,7164,4,3223,17299
,Graham,18,G.E. 2010,6823,,56,7340,3,3348,17570
,Graham,18,11-Jan,6796,,56,7423,3,3466,17744
,Greenlee,8,P.E. 2010,2436,,19,954,2,672,4083
,Greenlee,8,G.E. 2010,2443,,22,1013,4,721,4203
,Greenlee,8,11-Jan,2441,,22,1036,4,732,4235
,La Paz,12,P.E. 2010,2701,,26,3101,11,2676,8515
,La Paz,12,G.E. 2010,2688,,28,3171,11,2790,8688
,La Paz,12,11-Jan,2711,,29,3227,13,2876,8856
,Maricopa,"1,142",P.E. 2010,541244,,15409,696469,2273,571968,1827363
,Maricopa,"1,142",G.E. 2010,541711,,15599,703288,2427,588931,1851956
,Maricopa,"1,142",11-Jan,548361,,16017,712215,2597,611590,1890780
,Mohave,73,P.E. 2010,28232,,540,45801,106,39707,114386
,Mohave,73,G.E. 2010,28210,,560,46663,113,40792,116338
,Mohave,73,11-Jan,28364,,577,47285,118,41907,118251
,Navajo,70,P.E. 2010,25315,,410,18371,40,14337,58473
,Navajo,70,G.E. 2010,24815,,391,18274,45,14177,57702
,Navajo,70,11-Jan,24949,,390,18337,46,14396,58118
,Pima,417,P.E. 2010,185851,,3960,149734,1200,137214,477959
,Pima,417,G.E. 2010,187259,,3956,151502,1250,142730,486697
,Pima,417,11-Jan,185803,,3931,151114,1250,142540,484638
,Pinal,88,P.E. 2010,53132,,960,53390,168,55351,163001
,Pinal,88,G.E. 2010,52656,,972,54000,180,56484,164292
,Pinal,88,11-Jan,52571,,1001,54358,193,57792,165915
,Santa Cruz,24,P.E. 2010,11457,,139,3826,27,6503,21952
,Santa Cruz,24,G.E. 2010,11536,,140,3825,27,6616,22144
,Santa Cruz,24,11-Jan,11155,,138,3663,21,6331,21308
,Yavapai,112,P.E. 2010,28526,,839,53243,252,37076,119936
,Yavapai,112,G.E. 2010,28230,,851,53793,261,37983,121118
,Yavapai,112,11-Jan,28329,,865,54233,274,39061,122762
,Yuma,42,P.E. 2010,26902,,339,22847,45,23255,73388
,Yuma,42,G.E. 2010,27225,,347,23311,50,24285,75218
,Yuma,42,11-Jan,27446,,354,23655,55,24966,76476
