year,county,office,candidate,party,candidatevotes,totalvotes
2018,Coconino,Senate,Kyrsten Sinema,democrat,34240,55246
2018,Coconino,Senate,Martha McSally,republican,19249,55246
2018,Gila,Senate,Kyrsten Sinema,democrat,7643,20497
2018,Gila,Senate,Martha McSally,republican,12180,20497
2018,Graham,Senate,Kyrsten Sinema,democrat,3368,10601
2018,Graham,Senate,Martha McSally,republican,6870,10601
2018,Greenlee,Senate,Kyrsten Sinema,democrat,1042,2566
2018,Greenlee,Senate,Martha McSally,republican,1416,2566
2018,La Paz,Senate,Kyrsten Sinema,democrat,1609,5073
2018,La Paz,Senate,Martha McSally,republican,3265,5073
2018,Maricopa,Senate,Kyrsten Sinema,democrat,732761,1437637
2018,Maricopa,Senate,Martha McSally,republican,672505,1437637
2018,Mohave,Senate,Kyrsten Sinema,democrat,19214,71450
2018,Mohave,Senate,Martha McSally,republican,50209,71450
2018,Navajo,Senate,Kyrsten Sinema,democrat,16624,36629
2018,Navajo,Senate,Martha McSally,republican,18767,36629
2018,Pima,Senate,Kyrsten Sinema,democrat,221242,390502
2018,Pima,Senate,Martha McSally,republican,160550,390502
2018,Pinal,Senate,Kyrsten Sinema,democrat,50395,117360
2018,Pinal,Senate,Martha McSally,republican,63782,117360
2018,Santa Cruz,Senate,Kyrsten Sinema,democrat,9241,13487
2018,Santa Cruz,Senate,Martha McSally,republican,3828,13487
2018,Yavapai,Senate,Kyrsten Sinema,democrat,40160,108338
2018,Yavapai,Senate,Martha McSally,republican,65308,108338
2018,Yuma,Senate,Kyrsten Sinema,democrat,19880,43763
2018,Yuma,Senate,Martha McSally,republican,22532,43763
