Report Date/Time: 01/23/2006 10:16 AM,,,,STATE OF ARIZONA REGISTRATION REPORT,,,,,Page Number 1
,,,,"2006 January Voter Registration - January 1, 2006",,,,,
,,,,Compiled and Issued by the Arizona Secretary of State,,,,,
,,,,ACTIVE,,,,,
,,Precincts,Date/Period,,Democratic,Libertarian,Republican,Other,TOTAL
,Apache,45,5-Jul,,26861,107,6644,7369,40981
,Apache,45,5-Oct,,26886,110,6675,7403,41074
,Apache,45,6-Jan,,26971,113,6751,7448,41283
,Cochise,64,5-Jul,,22298,244,23816,13971,60329
,Cochise,64,5-Oct,,22310,250,24051,14180,60791
,Cochise,64,6-Jan,,22395,249,24291,14476,61411
,Coconino,83,5-Jul,,27031,439,18777,19210,65457
,Coconino,83,5-Oct,,26812,560,18688,18971,65031
,Coconino,83,6-Jan,,26708,696,18656,18946,65006
,Gila,40,5-Jul,,13110,104,9634,4496,27344
,Gila,40,5-Oct,,13127,108,9745,4612,27592
,Gila,40,6-Jan,,13194,115,9863,4728,27900
,Graham,18,5-Jul,,7668,32,5369,2216,15285
,Graham,18,5-Oct,,7646,34,5395,2231,15306
,Graham,18,6-Jan,,7646,35,5472,2269,15422
,Greenlee,8,5-Jul,,2945,9,845,428,4227
,Greenlee,8,5-Oct,,2925,9,836,429,4199
,Greenlee,8,6-Jan,,2914,9,844,438,4205
,La Paz,12,5-Jul,,2683,15,2819,1752,7269
,La Paz,12,5-Oct,,2685,16,2812,1762,7275
,La Paz,12,6-Jan,,2692,18,2846,1792,7348
,Maricopa,"1,058",5-Jul,,483996,11270,684829,393511,1573606
,Maricopa,"1,058",5-Oct,,483414,11318,684020,394234,1572986
,Maricopa,"1,142",6-Jan,,479148,11209,681968,399122,1571447
,Mohave,73,5-Jul,,27183,350,41451,24659,93643
,Mohave,73,5-Oct,,25862,333,39309,23289,88793
,Mohave,73,6-Jan,,25522,334,38851,22974,87681
,Navajo,70,5-Jul,,25610,191,18246,11559,55606
,Navajo,70,5-Oct,,25353,187,18099,11379,55018
,Navajo,70,6-Jan,,25438,196,18272,11508,55414
,Pima,401,5-Jul,,179813,3826,150175,122452,456266
,Pima,401,5-Oct,,179964,3833,150335,123577,457709
,Pima,401,6-Jan,,179465,3813,149920,124537,457735
,Pinal,67,5-Jul,,37347,474,32109,23577,93507
,Pinal,67,5-Oct,,37409,488,32588,24034,94519
,Pinal,67,6-Jan,,38822,509,34326,25087,98744
,Santa Cruz,24,5-Jul,,12201,138,4341,4475,21155
,Santa Cruz,24,5-Oct,,12249,142,4402,4541,21334
,Santa Cruz,24,6-Jan,,12028,137,4274,4487,20926
,Yavapai,104,5-Jul,,25391,697,47606,25854,99548
,Yavapai,104,5-Oct,,24857,661,47064,25250,97832
,Yavapai,104,6-Jan,,24466,653,46688,25300,97107
,Yuma,42,5-Jul,,23348,190,19613,12013,55164
,Yuma,42,5-Oct,,23117,192,19447,11932,54688
,Yuma,42,6-Jan,,22798,309,19207,11818,54132
