Report Date/Time: 01/27/2005 03:55 PM,,,,STATE OF ARIZONA REGISTRATION REPORT,,,,,,Page Number 1
,,,,"2005 January Voter Registration - January 1, 2005",,,,,,
,,,,,Compiled and Issued by the Arizona Secretary of State,,,,,
,,,,,ACTIVE,,,,,
,,,,,,,,,,
,county,Precincts,Date/Period,,,Democratic,Libertarian,Republican,Other,TOTAL
,Apache,45,4-Jan,,,26256,112,6606,6226,39200
,Apache,45,G.E. 2004,,,26240,106,6441,7002,39789
,Apache,45,5-Jan,,,26619,108,6527,7190,40444
,Cochise,64,4-Jan,,,20665,210,19770,10520,51165
,Cochise,64,G.E. 2004,,,22326,234,23519,13452,59531
,Cochise,64,5-Jan,,,22438,247,23772,13711,60168
,Coconino,82,4-Jan,,,25023,544,18281,19573,63421
,Coconino,83,G.E. 2004,,,28981,549,20239,22166,71935
,Coconino,83,5-Jan,,,29146,543,20409,22292,72390
,Gila,40,4-Jan,,,12451,85,8467,3520,24523
,Gila,40,G.E. 2004,,,13053,101,9318,4296,26768
,Gila,40,5-Jan,,,13300,104,9660,4457,27521
,Graham,18,4-Jan,,,7627,30,4907,1904,14468
,Graham,18,G.E. 2004,,,7504,28,5158,2092,14782
,Graham,18,5-Jan,,,7706,31,5317,2159,15213
,Greenlee,8,4-Jan,,,2959,12,811,249,4031
,Greenlee,8,G.E. 2004,,,3176,11,895,437,4519
,Greenlee,8,5-Jan,,,3139,11,908,450,4508
,La Paz,13,4-Jan,,,2623,12,2653,1440,6728
,La Paz,12,G.E. 2004,,,2703,15,2814,1703,7235
,La Paz,12,5-Jan,,,2705,15,2835,1730,7285
,Maricopa,"1,030",4-Jan,,,408244,9812,591710,304945,1314711
,Maricopa,"1,058",G.E. 2004,,,480058,11449,676080,384834,1552421
,Maricopa,"1,058",5-Jan,,,492966,11547,694431,399777,1598721
,Mohave,73,4-Jan,,,24627,255,37074,21110,83066
,Mohave,73,G.E. 2004,,,27772,344,42142,24776,95034
,Mohave,73,5-Jan,,,27381,345,41575,24473,93774
,Navajo,70,4-Jan,,,23515,144,16357,9800,49816
,Navajo,70,G.E. 2004,,,26387,193,19227,11931,57738
,Navajo,70,5-Jan,,,26460,199,19106,12018,57783
,Pima,406,4-Jan,,,155306,3998,130421,91616,381341
,Pima,401,G.E. 2004,,,177781,3736,147838,118695,448050
,Pima,401,5-Jan,,,180712,3838,150767,121893,457210
,Pinal,65,4-Jan,,,31903,311,22331,15670,70215
,Pinal,67,G.E. 2004,,,37541,452,30675,22425,91093
,Pinal,67,5-Jan,,,37890,458,31558,23299,93205
,Santa Cruz,24,4-Jan,,,10622,107,3656,3302,17687
,Santa Cruz,24,G.E. 2004,,,12041,139,4266,4345,20791
,Santa Cruz,24,5-Jan,,,12156,140,4311,4387,20994
,Yavapai,103,4-Jan,,,20230,679,39707,20942,81558
,Yavapai,104,G.E. 2004,,,25614,717,47712,25799,99842
,Yavapai,104,5-Jan,,,25899,728,48460,26356,101443
,Yuma,42,4-Jan,,,20057,117,16574,8829,45577
,Yuma,42,G.E. 2004,,,23087,187,18928,11601,53803
,Yuma,42,5-Jan,,,23639,191,19707,12027,55564
